 | S: 13.78 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 16.21 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.02 3.97 5.00 
 | S: 16.28 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.98 3.93 5.00 
 | S: 16.35 | T: 1.100 | N: 2.70 | P: 4.06 | A: 3.95 3.88 5.00 
 | S: 16.41 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.96 3.88 5.00 
 | S: 16.48 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.98 3.89 5.00 
 | S: 16.55 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.90 5.00 
 | S: 16.62 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.98 3.90 5.00 
 | S: 16.69 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.91 5.00 
 | S: 16.75 | T: 1.100 | N: 2.69 | P: 4.07 | A: 4.00 3.92 5.00 
 | S: 16.82 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.92 5.00 
 | S: 16.89 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.92 5.00 
 | S: 16.96 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.92 5.00 
 | S: 17.02 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 17.09 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 17.16 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 17.23 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 17.29 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 17.36 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 17.43 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 17.50 | T: 1.100 | N: 2.70 | P: 4.06 | A: 3.99 3.91 5.00 
 | S: 17.56 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 17.63 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 17.70 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 17.77 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 17.84 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 17.90 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 17.97 | T: 1.100 | N: 2.70 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 18.04 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 18.11 | T: 1.100 | N: 2.69 | P: 4.05 | A: 4.00 3.92 4.99 
 | S: 18.17 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 18.24 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.92 5.00 
 | S: 18.31 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.93 5.00 
 | S: 18.38 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 18.44 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 18.51 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 18.58 | T: 1.100 | N: 2.69 | P: 4.07 | A: 3.99 3.91 5.00 
 | S: 18.65 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.91 5.00 
 | S: 18.71 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 18.78 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 18.85 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.01 3.94 5.00 
 | S: 18.92 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.02 3.97 5.00 
 | S: 18.98 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.03 3.98 5.00 
 | S: 19.05 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.94 5.00 
 | S: 19.12 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 19.19 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 19.25 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.02 3.97 5.00 
 | S: 19.32 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.95 5.00 
 | S: 19.39 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 19.46 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 19.52 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 19.59 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 19.66 | T: 1.100 | N: 2.70 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 19.73 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 19.80 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 19.86 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 19.93 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 20.00 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 20.07 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 20.13 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 20.20 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 20.27 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 20.34 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 20.40 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 20.47 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 20.54 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 20.61 | T: 1.100 | N: 2.69 | P: 4.07 | A: 3.99 3.92 5.00 
 | S: 20.67 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 20.74 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 20.81 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 20.88 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.92 5.00 
 | S: 20.94 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 21.01 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.92 5.00 
 | S: 21.08 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 21.15 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 21.21 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 21.28 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 21.35 | T: 1.100 | N: 2.69 | P: 4.07 | A: 4.00 3.93 5.00 
 | S: 21.42 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 21.49 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 21.55 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 21.62 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 21.69 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 21.76 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 21.82 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 21.89 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 21.96 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 22.03 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 22.09 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.93 5.00 
 | S: 22.16 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 4.99 
 | S: 22.23 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 22.30 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 22.36 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.93 5.00 
 | S: 22.43 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 22.50 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 22.57 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 22.63 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 22.70 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 22.77 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 22.84 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 22.90 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 22.97 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 23.04 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 23.11 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 23.18 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 23.24 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 23.31 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 23.38 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.01 3.94 5.00 
 | S: 23.45 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 23.51 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 23.58 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 23.65 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 23.72 | T: 1.100 | N: 2.71 | P: 4.07 | A: 3.99 3.92 5.00 
 | S: 23.78 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.01 3.94 5.00 
 | S: 23.85 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 23.92 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 23.99 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 24.05 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 24.12 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 24.19 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.01 3.94 5.00 
 | S: 24.26 | T: 1.100 | N: 2.70 | P: 4.07 | A: 4.01 3.94 5.00 
 | S: 24.32 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 24.39 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 24.46 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 24.53 | T: 1.100 | N: 2.71 | P: 4.06 | A: 3.99 3.93 5.00 
 | S: 24.59 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 24.66 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 24.73 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 24.80 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 24.86 | T: 1.100 | N: 2.70 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 24.93 | T: 1.100 | N: 2.71 | P: 4.07 | A: 3.99 3.92 5.00 
 | S: 25.00 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.00 3.92 5.00 
 | S: 25.07 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 25.14 | T: 1.100 | N: 2.70 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 25.20 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 25.27 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 25.34 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 25.41 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 25.47 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 25.54 | T: 1.100 | N: 2.71 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 25.61 | T: 1.100 | N: 2.72 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 25.68 | T: 1.100 | N: 2.72 | P: 4.07 | A: 4.00 3.93 5.00 
 | S: 25.74 | T: 1.100 | N: 2.72 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 25.81 | T: 1.100 | N: 2.72 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 25.88 | T: 1.100 | N: 2.72 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 25.95 | T: 1.100 | N: 2.72 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 26.01 | T: 1.100 | N: 2.73 | P: 4.07 | A: 4.00 3.94 5.00 
 | S: 26.08 | T: 1.100 | N: 2.73 | P: 4.06 | A: 3.98 3.93 5.00 
 | S: 26.15 | T: 1.100 | N: 2.73 | P: 4.05 | A: 4.01 3.94 5.00 
 | S: 26.22 | T: 1.100 | N: 2.73 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 26.29 | T: 1.100 | N: 2.72 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 26.35 | T: 1.100 | N: 2.73 | P: 4.06 | A: 3.98 3.91 5.00 
 | S: 26.42 | T: 1.100 | N: 2.72 | P: 4.05 | A: 3.99 3.91 5.00 
 | S: 26.49 | T: 1.100 | N: 2.73 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 26.56 | T: 1.100 | N: 2.73 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 26.62 | T: 1.100 | N: 2.73 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 26.69 | T: 1.100 | N: 2.73 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 26.76 | T: 1.100 | N: 2.73 | P: 4.06 | A: 4.00 3.95 5.00 
 | S: 26.83 | T: 1.100 | N: 2.73 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 26.89 | T: 1.100 | N: 2.73 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 26.96 | T: 1.100 | N: 2.73 | P: 4.06 | A: 3.99 3.93 5.00 
 | S: 27.03 | T: 1.100 | N: 2.73 | P: 4.06 | A: 4.01 3.94 5.00 
 | S: 27.10 | T: 1.100 | N: 2.74 | P: 4.06 | A: 3.99 3.93 5.00 
 | S: 27.16 | T: 1.100 | N: 2.73 | P: 4.06 | A: 4.01 3.94 5.00 
 | S: 27.23 | T: 1.100 | N: 2.73 | P: 4.06 | A: 4.01 3.94 5.00 
 | S: 27.30 | T: 1.100 | N: 2.73 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 27.37 | T: 1.100 | N: 2.74 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 27.43 | T: 1.100 | N: 2.74 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 27.50 | T: 1.100 | N: 2.74 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 27.57 | T: 1.100 | N: 2.74 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 27.64 | T: 1.100 | N: 2.74 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 27.70 | T: 1.100 | N: 2.74 | P: 4.06 | A: 4.00 3.93 4.99 
 | S: 27.77 | T: 1.100 | N: 2.74 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 27.84 | T: 1.100 | N: 2.74 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 27.91 | T: 1.100 | N: 2.74 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 27.97 | T: 1.100 | N: 2.75 | P: 4.06 | A: 3.99 3.92 5.00 
 | S: 28.04 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 28.11 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 28.18 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 28.25 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 28.31 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 28.38 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 28.45 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 28.52 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 28.58 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 28.65 | T: 1.100 | N: 2.76 | P: 4.07 | A: 4.00 3.93 5.00 
 | S: 28.72 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 28.79 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.92 5.00 
 | S: 28.85 | T: 1.100 | N: 2.75 | P: 4.07 | A: 3.99 3.93 5.00 
 | S: 28.92 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 28.99 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 29.06 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 29.12 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.01 3.94 5.00 
 | S: 29.19 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 29.26 | T: 1.100 | N: 2.75 | P: 4.07 | A: 3.99 3.92 5.00 
 | S: 29.33 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 29.39 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 29.46 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.01 3.94 5.00 
 | S: 29.53 | T: 1.100 | N: 2.76 | P: 4.07 | A: 4.00 3.94 5.00 
 | S: 29.60 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 29.66 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.95 5.00 
 | S: 29.73 | T: 1.100 | N: 2.75 | P: 4.06 | A: 3.99 3.93 5.00 
 | S: 29.80 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 29.87 | T: 1.100 | N: 2.75 | P: 4.06 | A: 3.99 3.93 5.00 
 | S: 29.93 | T: 1.100 | N: 2.75 | P: 4.06 | A: 3.99 3.93 5.00 
 | S: 30.00 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 30.07 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 30.14 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.01 3.94 5.00 
 | S: 30.21 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 30.27 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 30.34 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.01 3.94 5.00 
 | S: 30.41 | T: 1.100 | N: 2.76 | P: 4.07 | A: 4.00 3.94 5.00 
 | S: 30.48 | T: 1.100 | N: 2.76 | P: 4.06 | A: 3.99 3.93 5.00 
 | S: 30.54 | T: 1.100 | N: 2.75 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 30.61 | T: 1.100 | N: 2.76 | P: 4.07 | A: 4.00 3.93 5.00 
 | S: 30.68 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 30.75 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 30.81 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 30.88 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 30.95 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 31.02 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 31.08 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 31.15 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 31.22 | T: 1.100 | N: 2.76 | P: 4.05 | A: 4.00 3.94 5.00 
 | S: 31.29 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 31.36 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 31.42 | T: 1.100 | N: 2.77 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 31.49 | T: 1.100 | N: 2.77 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 31.56 | T: 1.100 | N: 2.77 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 31.63 | T: 1.100 | N: 2.77 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 31.69 | T: 1.100 | N: 2.76 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 31.76 | T: 1.100 | N: 2.77 | P: 4.06 | A: 4.00 3.94 4.99 
 | S: 31.83 | T: 1.100 | N: 2.77 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 31.90 | T: 1.100 | N: 2.77 | P: 4.06 | A: 3.99 3.93 5.00 
 | S: 31.96 | T: 1.100 | N: 2.77 | P: 4.07 | A: 4.00 3.93 5.00 
 | S: 32.03 | T: 1.100 | N: 2.77 | P: 4.06 | A: 3.99 3.93 5.00 
 | S: 32.10 | T: 1.100 | N: 2.77 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 32.17 | T: 1.100 | N: 2.77 | P: 4.07 | A: 4.00 3.94 5.00 
 | S: 32.23 | T: 1.100 | N: 2.77 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 32.30 | T: 1.100 | N: 2.77 | P: 4.06 | A: 4.01 3.94 5.00 
 | S: 32.37 | T: 1.100 | N: 2.77 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 32.44 | T: 1.100 | N: 2.77 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 32.50 | T: 1.100 | N: 2.77 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 32.57 | T: 1.100 | N: 2.77 | P: 4.06 | A: 4.00 3.93 5.00 
